Donor_Group	Recip_Group	Frag_Length	Gene	Recipient_strains
13	9	132	group_3355	ERR069826,ERR069780,ERR129106,ERR129141
3	6	257	group_31	ERR069786,ERR068023
10	9	66	group_31	ERR129029,ERR129146,ERR129052,ERR124219,ERR069800,ERR065311,ERR065966,ERR069790,ERR065355,ERR124245,ERR069736,ERR065331,ERR129171
13	16f	111	group_31	ERR129064
4	8	83	group_31	ERR129142
3	16a	257	group_31	ERR069701
3	16c	257	group_31	ERR129045
13	4	111	group_31	ERR129204
16c	10	152	plsX	ERR124310,ERR129048,ERR065309,ERR124305,ERR129111,ERR124253,ERR065316,ERR124217,ERR124266,ERR069757,ERR129145
16c	5	152	plsX	ERR129105,ERR129196,ERR129195,ERR065301,ERR065342,ERR129144,ERR129077,ERR067998,ERR124320,ERR069818,ERR069714,ERR068010,ERR129182,ERR069799
16c	16b	59	ydcP	ERR069815
13	1	449	ydcP	ERR067964,ERR069835,ERR065967,ERR069721,ERR069740
16c	16c	51	group_813	ERR129181
16b	16d	342	group_813	ERR069735
16d	1	222	group_813	ERR129126
1	1	319	group_813	ERR129126
16d	16c	222	group_813	ERR069722,ERR065349,ERR068022
2	16a	33	group_1604	ERR129212,ERR069748,ERR129180,ERR068006,ERR069832,ERR069716,ERR069750,ERR069701,ERR067983,ERR067989
2	3	33	group_1604	ERR129054
2	6	33	group_1604	ERR129117,ERR129213,ERR129043,ERR124227,ERR068030
2	16f	33	group_1604	ERR129064
2	16d	33	group_1604	ERR065295,ERR069782,ERR069813
2	16b	33	group_1604	ERR129028,ERR129136,ERR129138,ERR129030
8	16a	57	ybaN	ERR069814,ERR068007,ERR124257,ERR069789
16c	5	495	group_523	ERR067998
16c	9	495	group_523	ERR124287,ERR129146,ERR129076,ERR129055,ERR067976,ERR065307,ERR065313,ERR129082,ERR129205,ERR129098,ERR129133
16c	2	495	group_523	ERR129037,ERR067985,ERR065326,ERR069713,ERR129127,ERR069727,ERR069752,ERR129214,ERR068046,ERR129215,ERR129159,ERR129154,ERR068040,ERR067986,ERR124291,ERR069822,ERR065310,ERR124302,ERR129210,ERR124296,ERR068041,ERR069801,ERR129080,ERR124268,ERR069760,ERR129131,ERR069804,ERR129068,ERR129079,ERR124246,ERR129139,ERR124240,ERR069707,ERR068047,ERR129178,ERR067968,ERR129177,ERR069839,ERR124242,ERR129137,ERR065308,ERR069702,ERR065964,ERR069837,ERR068000,ERR129093,ERR129211,ERR124298
16c	16c	495	group_523	ERR069792
16c	4	495	group_523	ERR124307
9	16a	123	group_526	ERR069789
12	14	34	group_526	ERR069825
12	4	40	group_526	ERR065338
12	11	34	group_526	ERR129179,ERR124241,ERR124293,ERR069703,ERR129087,ERR129148,ERR124277,ERR129074,ERR065300,ERR065324,ERR065329,ERR129200,ERR068019,ERR129099,ERR124250,ERR124316,ERR069726,ERR129143,ERR124299,ERR068002,ERR068029,ERR124279,ERR129163,ERR129134,ERR065351,ERR067988,ERR129035,ERR069728,ERR124290,ERR129119,ERR124273,ERR129173,ERR069733,ERR129104,ERR067970,ERR067992,ERR124275,ERR129089,ERR068033
12	5	34	group_526	ERR129196,ERR065342,ERR129144,ERR129077,ERR067998,ERR124320,ERR069818,ERR069714,ERR129053,ERR068010,ERR129182
12	16a	34	group_526	ERR069748,ERR129180,ERR068006,ERR067989
12	1	34	group_526	ERR124256,ERR069809,ERR065350,ERR069690,ERR069731,ERR124265,ERR065347,ERR129201
12	6	34	group_526	ERR069786,ERR129117,ERR129157
12	16c	40	group_526	ERR129044,ERR129056
9	2	123	group_526	ERR129159
12	16c	34	group_526	ERR129187,ERR068014,ERR129047
9	1	123	group_526	ERR068048
12	4	34	group_526	ERR069738,ERR129096,ERR069688,ERR065343,ERR069767
12	16b	34	group_526	ERR069772,ERR069806,ERR069816
9	16b	92	murG	ERR069824,ERR069729,ERR124311,ERR129057,ERR069772,ERR069806,ERR069730,ERR065290,ERR129135,ERR069816,ERR065956
9	9	92	murG	ERR129029,ERR124287,ERR129146,ERR129052,ERR129076,ERR129055,ERR124219,ERR069800,ERR065966,ERR067976,ERR065307,ERR069790,ERR065355,ERR065306,ERR065313,ERR129082,ERR129205,ERR129192,ERR069736,ERR129098,ERR065331,ERR129133,ERR129171
16c	14	96	group_642	ERR124314
2	16d	199	gtf2_8	ERR069838
11	16h	43	group_7208	ERR067982
5	13	314	group_640	ERR068005,ERR069759,ERR067979
5	1	314	group_640	ERR124265,ERR069690,ERR068018,ERR129090,ERR068020,ERR069715,ERR124282,ERR129058
16b	16b	117	group_1188	ERR129028,ERR129083
16b	12	117	group_1188	ERR065974,ERR065341,ERR129130,ERR065965,ERR067993,ERR069803,ERR069841
16b	10	117	group_1188	ERR068025,ERR069811,ERR129152,ERR124310,ERR065327,ERR129048,ERR129039
16b	16c	117	group_1188	ERR124247,ERR069773,ERR065325,ERR065960,ERR065302,ERR129040,ERR069792,ERR124271,ERR129044,ERR068031,ERR065354
6	14	675	group_1117	ERR069700,ERR067966,ERR067969,ERR124314,ERR069787,ERR069744,ERR129128,ERR069763,ERR069747,ERR124303,ERR065963
9	12	142	gatA	ERR065974
9	14	142	gatA	ERR069700,ERR067966,ERR067969,ERR124314,ERR069787,ERR069744,ERR069825,ERR129128,ERR069763,ERR069747,ERR124303,ERR065963
9	9	142	gatA	ERR124287,ERR129146,ERR129076,ERR067976,ERR065307,ERR069807,ERR065313,ERR129205,ERR129098,ERR129133
9	16b	142	gatA	ERR129102,ERR129071
9	6	142	gatA	ERR068030
16g	6	230	gatA	ERR124319,ERR124288,ERR124294,ERR124297,ERR124286
9	2	142	gatA	ERR068041
9	16e	142	gatA	ERR067975
12	8	154	group_2400	ERR068050
15	8	60	group_2400	ERR068050
16b	8	321	ftsK	ERR067974,ERR069704,ERR129034,ERR069828,ERR129121,ERR129174,ERR129125,ERR069705
16b	16g	321	ftsK	ERR124244
16b	6	321	ftsK	ERR069786,ERR124319,ERR069685,ERR129042,ERR124235,ERR124288,ERR069708,ERR129167,ERR069798,ERR124308,ERR129043,ERR065971,ERR124227,ERR129168,ERR065303,ERR068023,ERR129172,ERR124294,ERR068030,ERR065969,ERR069693,ERR069779,ERR124297,ERR124286
16b	16c	321	ftsK	ERR069773,ERR065302,ERR129040,ERR068039,ERR069722,ERR129124,ERR065321,ERR065349,ERR129188,ERR129056,ERR069775,ERR068022
16b	16b	321	ftsK	ERR065315,ERR069739,ERR069695
16b	13	321	ftsK	ERR069709,ERR068001,ERR068005,ERR065353,ERR065953,ERR069710,ERR068004,ERR124223,ERR069734,ERR129092,ERR069759,ERR069827,ERR069741,ERR069788,ERR069784,ERR068043,ERR067979
9	4	184	pheT_2	ERR065338,ERR067987
16c	1	99	pheT_2	ERR069823,ERR067964,ERR069835,ERR069746,ERR069812,ERR065292,ERR065967,ERR065344,ERR065962,ERR069755,ERR069765,ERR124231,ERR069732,ERR065330,ERR069719,ERR069770,ERR069721,ERR069740
16c	4	699	pheT_2	ERR069738,ERR068037,ERR129096,ERR069686,ERR069688,ERR124307
16c	11	699	pheT_2	ERR129179,ERR124241,ERR124293,ERR069703,ERR129087,ERR067962,ERR129148,ERR069749,ERR124277,ERR129074,ERR065300,ERR065324,ERR065329,ERR129200,ERR068019,ERR129099,ERR124250,ERR124316,ERR129086,ERR129143,ERR124299,ERR068002,ERR124236,ERR068029,ERR124279,ERR129163,ERR129134,ERR065351
5	12	2406	pheT_2	ERR065974
5	1	2406	pheT_2	ERR069823,ERR067964,ERR069835,ERR069746,ERR069812,ERR065292,ERR065967,ERR065344,ERR065962,ERR069755,ERR069765,ERR124231,ERR069732,ERR065330,ERR069719,ERR069770,ERR069721,ERR069740
16c	16c	699	pheT_2	ERR124218,ERR129110
5	16c	2406	pheT_2	ERR069764,ERR129187,ERR129044,ERR129194
16f	16c	637	pheT_2	ERR069764,ERR129187,ERR068014,ERR129094,ERR129206,ERR068009,ERR129047,ERR129095
3	12	50	pheT_2	ERR067993,ERR069803,ERR069841
5	5	2406	pheT_2	ERR129196
12	1	185	pheT_2	ERR124256,ERR069809,ERR068048,ERR065350,ERR069731,ERR065347,ERR129201
12	7	185	pheT_2	ERR124276,ERR124228
5	16b	2406	pheT_2	ERR129102
5	6	2406	pheT_2	ERR069786,ERR124319
16c	16b	699	pheT_2	ERR129028
16c	16a	699	pheT_2	ERR129212,ERR069814,ERR068007,ERR124257
13	6	764	group_964	ERR068030
16c	6	201	group_964	ERR129117,ERR129157
11	16c	223	group_3103	ERR068009
8	6	22	fcl	ERR129042,ERR069708,ERR124308,ERR065303,ERR068023
8	16g	22	fcl	ERR068016,ERR129066,ERR065304,ERR065959,ERR067991,ERR129038,ERR124230
5	9	203	fcl	ERR069694
8	14	22	fcl	ERR069825
16d	16c	56	agaA_2	ERR069773,ERR065302,ERR129040,ERR068039,ERR129124,ERR065321,ERR129188,ERR129056,ERR069775
16b	13	71	treA	ERR124223
16c	16c	379	group_663	ERR124247
16c	16g	526	group_663	ERR068016
12	16c	334	glpO	ERR129187,ERR068014,ERR129094
12	13	334	glpO	ERR129027,ERR129115
16c	1	446	group_149	ERR065350,ERR069731
16b	16c	468	group_149	ERR124218
2	1	468	group_149	ERR129051,ERR129132,ERR065347,ERR124304,ERR069732,ERR124237
2	16c	468	group_149	ERR065312
3	7	19	group_2513	ERR124292,ERR124312,ERR129067
16f	2	24	group_1964	ERR068041
16f	16b	24	group_1964	ERR129103
16f	16a	24	group_1964	ERR069814,ERR124257,ERR069789,ERR129185,ERR067972
16f	3	24	group_1964	ERR069698,ERR124274,ERR129061,ERR065320,ERR067978,ERR068032,ERR124272,ERR129060,ERR068049
16f	13	24	group_1964	ERR067979
16g	9	628	group_2136	ERR067967,ERR068015
1	9	1037	rexB	ERR069743
6	16f	276	rexB	ERR124226,ERR129064,ERR069769
6	16a	276	rexB	ERR124257,ERR129185,ERR067972
1	6	1037	rexB	ERR124235
16c	5	156	femX	ERR065342
9	16a	219	tsaB	ERR069814,ERR068007,ERR124257,ERR069789,ERR068021,ERR129185,ERR067972
9	16c	219	tsaB	ERR124258,ERR124306,ERR065312
9	8	219	tsaB	ERR068044
9	11	219	tsaB	ERR069703,ERR068029
16a	11	210	tsaB	ERR129179,ERR124241,ERR124293,ERR067962,ERR129148,ERR069749,ERR124277,ERR129074,ERR065300,ERR065324,ERR065329,ERR129200,ERR068019,ERR129099,ERR124250,ERR124316,ERR129086,ERR069834,ERR069726,ERR129143,ERR124299,ERR068002,ERR124279,ERR129163,ERR129134,ERR065351,ERR067988,ERR129035,ERR124301,ERR069728,ERR124290,ERR129119,ERR124273,ERR129173,ERR069733,ERR129104,ERR067963,ERR067970,ERR067992,ERR124275,ERR129089,ERR068033
16c	3	200	tsaB	ERR124300
16a	12	210	tsaB	ERR069803
9	1	219	tsaB	ERR124285
12	16b	145	group_2346	ERR069824,ERR129102,ERR069729,ERR069772,ERR069806,ERR129071,ERR069730,ERR069816,ERR065956
12	6	145	group_2346	ERR129176,ERR129117,ERR129213,ERR129042,ERR124235,ERR129157,ERR069708,ERR129167,ERR124308,ERR129043,ERR124227,ERR065303,ERR068023
12	7	145	group_2346	ERR124228,ERR067961,ERR124292,ERR124312,ERR069718,ERR124224,ERR124243,ERR124276,ERR129067,ERR129073
7	16c	184	valS	ERR124271,ERR129041,ERR124289,ERR124309,ERR069722,ERR129184,ERR065318,ERR065349,ERR068022
9	16c	27	valS	ERR129110
5	16a	450	valS	ERR129212
7	13	168	valS	ERR069709,ERR068001,ERR068005,ERR065353,ERR065953,ERR069710,ERR129027,ERR068004,ERR069734,ERR129092,ERR069759,ERR069827,ERR069741,ERR069788,ERR069784,ERR068043,ERR129115,ERR067979
16c	16c	51	valS	ERR129181
16c	4	165	valS	ERR069738,ERR068037,ERR129096,ERR069686,ERR069688,ERR124307,ERR129204,ERR067996,ERR065343,ERR124248,ERR069767,ERR124260,ERR069778,ERR129156,ERR069836,ERR067965,ERR124318,ERR069783
16c	16h	51	valS	ERR124252,ERR067982
7	16d	168	valS	ERR069735,ERR069819,ERR065295,ERR069782,ERR069813,ERR065957,ERR069838
7	16e	184	valS	ERR067975
5	9	450	valS	ERR129065,ERR129029
16c	16b	489	valS	ERR129028,ERR129083,ERR129216,ERR129136,ERR129202,ERR129138,ERR129103,ERR129030
7	16f	168	valS	ERR069840
16c	16c	428	valS	ERR129181
5	16c	450	valS	ERR069764,ERR065325,ERR065960,ERR129187,ERR068014,ERR129094,ERR069737,ERR129050,ERR129206,ERR129045,ERR065299,ERR068009,ERR069808,ERR129047,ERR129095
16c	16g	489	valS	ERR124244
16c	12	489	valS	ERR067993
7	2	184	valS	ERR129037,ERR067985,ERR065326,ERR069713,ERR129127,ERR069727,ERR069752,ERR129214,ERR068046,ERR129215,ERR129159,ERR129154,ERR068040,ERR067986,ERR124291,ERR069822,ERR065310,ERR124302,ERR129210,ERR124296,ERR068041,ERR069801,ERR129080,ERR124268,ERR069760,ERR129131,ERR069804,ERR129068,ERR129079,ERR124246,ERR129139,ERR124240,ERR069707,ERR068047,ERR129178,ERR067968,ERR129177,ERR069839,ERR124242,ERR129137,ERR065308,ERR069702,ERR065964,ERR069837,ERR068000,ERR129093,ERR129211,ERR124298
7	16c	168	valS	ERR124271,ERR129041,ERR124289,ERR124309,ERR129184,ERR065318
16c	15	165	valS	ERR124222
16c	12	51	valS	ERR067993,ERR069803,ERR069841
16c	11	100	valS	ERR129148,ERR129179,ERR124241,ERR124293,ERR069703,ERR129087,ERR067962,ERR069749,ERR124277,ERR129074,ERR065300,ERR065324,ERR065329,ERR129200,ERR068019,ERR129099,ERR124250,ERR124316,ERR129086,ERR069834,ERR069726,ERR129143,ERR124299,ERR068002,ERR124236,ERR068029,ERR124279,ERR129163,ERR129134,ERR065351,ERR067988,ERR129035,ERR124301,ERR069728,ERR124290,ERR129119,ERR124273,ERR129173,ERR069733,ERR129104,ERR067963,ERR067970,ERR067992,ERR124275,ERR129089,ERR068033
16c	16b	51	valS	ERR129028,ERR129083,ERR129216,ERR129136,ERR129202,ERR129138,ERR129103,ERR129030
16b	16b	804	valS	ERR124311,ERR129057,ERR065290,ERR129135
5	16g	450	valS	ERR124244
16d	9	73	folE	ERR065955
9	1	6	folE	ERR069823,ERR069835,ERR069746,ERR069812,ERR065292,ERR065967,ERR065344,ERR065962,ERR069755,ERR069765,ERR124231,ERR065330,ERR069719,ERR069770,ERR069721,ERR069740
9	9	6	folE	ERR065955
16d	1	73	folE	ERR069823,ERR069835,ERR069746,ERR069812,ERR065292,ERR065967,ERR065344,ERR065962,ERR069755,ERR069765,ERR124231,ERR065330,ERR069719,ERR069770,ERR069721,ERR069740
8	8	16	bacC	ERR065305,ERR069795,ERR129129,ERR065970,ERR065972,ERR065287,ERR124229,ERR129149,ERR069833,ERR069751,ERR069687,ERR129207,ERR068044,ERR067974,ERR069711,ERR067960,ERR068050,ERR129032,ERR065317,ERR069774,ERR069829,ERR068045,ERR129186,ERR124220,ERR129183,ERR068034,ERR069691,ERR124281,ERR124267,ERR129081,ERR129175,ERR069704,ERR069761,ERR129034,ERR069828,ERR129046,ERR124225,ERR068011,ERR065288,ERR129091,ERR065291,ERR129121,ERR129174,ERR065337,ERR124251,ERR065975,ERR068038,ERR129125,ERR069705,ERR124313,ERR069758,ERR124280,ERR129033,ERR129190,ERR065340,ERR065319
8	16a	16	bacC	ERR129212,ERR069748,ERR069689,ERR129180,ERR068006,ERR069832,ERR069716,ERR069750,ERR069701,ERR067983,ERR067989
8	16h	16	bacC	ERR129162,ERR065958
8	16f	16	bacC	ERR124226,ERR069769
8	16c	16	bacC	ERR065325,ERR065960,ERR129050,ERR069722,ERR065299,ERR065349,ERR068022
8	16b	16	bacC	ERR129102,ERR129071
16b	1	212	mutM	ERR069712,ERR129051,ERR065968,ERR129132,ERR069690,ERR068018,ERR069768,ERR129090,ERR068020,ERR067977,ERR069715,ERR129113,ERR068013,ERR124304,ERR124282,ERR129058,ERR124237
1	3	177	mutM	ERR065332,ERR069725,ERR129026,ERR069698,ERR124274,ERR124283,ERR065293,ERR124221,ERR068026,ERR065297,ERR129061,ERR065320,ERR069724,ERR068042,ERR124249,ERR129198,ERR067978,ERR068032,ERR124239,ERR068028,ERR124272,ERR124300,ERR129054,ERR129060,ERR068049
16d	16c	753	group_1134	ERR068009
16d	8	753	group_1134	ERR124315,ERR124269
16c	4	1123	secA	ERR069738,ERR068037,ERR129096,ERR069686,ERR069688,ERR124307
16c	14	1123	secA	ERR069700,ERR067966,ERR067969,ERR124314
16c	16c	1123	secA	ERR069764,ERR129181
16c	6	1123	secA	ERR069786,ERR129176,ERR129117,ERR069685
16a	13	360	secA	ERR069709,ERR068001,ERR068005,ERR065353,ERR065953,ERR069710,ERR068004,ERR124223,ERR069734,ERR129092,ERR069759,ERR069827,ERR069741,ERR069788,ERR069784,ERR068043,ERR067979
16c	9	1123	secA	ERR129029
16c	5	1123	secA	ERR129105,ERR129196,ERR129195
16c	2	1123	secA	ERR129037,ERR067985,ERR065326,ERR069713
16c	16a	1123	secA	ERR129212,ERR124257
16c	16h	1123	secA	ERR069785
16c	15	1123	secA	ERR124222,ERR129075,ERR069706
16c	1	1123	secA	ERR124256,ERR069712,ERR069809,ERR068048,ERR129164
11	12	476	purL	ERR065974,ERR065341,ERR129130,ERR065965
11	16c	476	purL	ERR129181
8	16b	26	glnM_1	ERR069824,ERR069729,ERR069772,ERR069806,ERR069730,ERR069816,ERR065956
16c	9	324	murD	ERR129065,ERR129029,ERR069826,ERR129107,ERR124287,ERR129155,ERR129146,ERR129052,ERR129076,ERR129055,ERR069780,ERR068027,ERR069802,ERR129106,ERR129116,ERR069830,ERR129147,ERR124219,ERR065345,ERR069800,ERR065311,ERR067967,ERR129161,ERR065966,ERR067976,ERR065307,ERR069790,ERR068015,ERR065355,ERR069777,ERR069807,ERR065346,ERR065306,ERR065313,ERR129082,ERR069743,ERR067980,ERR065955,ERR065322,ERR129208,ERR129205,ERR069694,ERR124245,ERR129192,ERR069736,ERR129098,ERR065339,ERR124238,ERR067973,ERR065331,ERR129141,ERR129133,ERR065348,ERR129171,ERR129122,ERR129100
16c	16b	324	murD	ERR124311,ERR129057,ERR065290,ERR129135
5	1	344	group_242	ERR069755
5	16c	344	group_242	ERR129041
7	16c	314	group_1064	ERR069723
9	11	221	ywlC	ERR129173
16c	16b	634	group_1530	ERR069824,ERR069772,ERR069806
16c	16e	634	group_1530	ERR067975
2	16b	367	group_1530	ERR124311,ERR129057,ERR065290
1	16g	45	group_1530	ERR068016,ERR129066,ERR065304,ERR065959,ERR067991,ERR129038,ERR124230
16c	3	634	group_1530	ERR065332,ERR069725,ERR129026,ERR069698,ERR124274,ERR124283,ERR065293,ERR124221,ERR068026,ERR065297,ERR129061,ERR065320,ERR069724,ERR068042,ERR124249,ERR129198,ERR067978,ERR068032,ERR124239,ERR068028,ERR124272,ERR124300,ERR129054,ERR129060,ERR068049
1	1	634	group_1530	ERR124256,ERR069712,ERR069809,ERR068048,ERR129164,ERR129088,ERR065350,ERR067981,ERR129051,ERR065968,ERR129158,ERR068012,ERR129132,ERR069690,ERR068018,ERR069768,ERR129090,ERR068020,ERR067977,ERR069715,ERR069683,ERR069731,ERR129126,ERR129113,ERR065347,ERR068013,ERR124304,ERR124282,ERR129058,ERR129199,ERR129201
9	16h	765	group_1530	ERR129162,ERR065958
1	16b	634	group_1530	ERR069824,ERR069772,ERR069806,ERR069816,ERR065956
9	1	765	group_1530	ERR069732
1	16c	45	group_1530	ERR069722,ERR065349,ERR068022
1	16e	634	group_1530	ERR067975
1	2	45	group_1530	ERR069839,ERR068000
15	16h	461	lacF_1	ERR069785,ERR069797,ERR069821
15	15	461	lacF_1	ERR124222,ERR129075,ERR069843,ERR124255,ERR065973,ERR069720,ERR124233,ERR129036,ERR129031,ERR129049,ERR129193
15	8	461	lacF_1	ERR129118
16a	9	28	group_394	ERR069694,ERR129192,ERR065348
16a	16c	28	group_394	ERR129084
1	16b	240	group_399	ERR129028,ERR129083,ERR129216
1	16c	240	group_399	ERR069820
16d	12	185	group_399	ERR067993,ERR069803,ERR069841
16c	16c	811	group_399	ERR129187,ERR129047
7	6	863	group_399	ERR068030
5	16c	321	group_399	ERR129045
16c	6	811	group_399	ERR129176,ERR069786,ERR129117,ERR069685,ERR129213,ERR129042,ERR124235,ERR129157,ERR124288,ERR069708,ERR129167,ERR069798,ERR124308,ERR129043,ERR065971,ERR124227,ERR129168,ERR065303
16c	5	811	group_399	ERR129105,ERR129196,ERR129195
16c	15	811	group_399	ERR129062
16b	1	140	group_399	ERR069823,ERR124256,ERR069809,ERR068048,ERR129164,ERR067964,ERR069835,ERR129088,ERR067981,ERR069746,ERR129158,ERR069812,ERR068012,ERR065292,ERR065967,ERR065344,ERR069683,ERR065962,ERR069755,ERR124285,ERR129126,ERR069765,ERR124231,ERR069732,ERR065330,ERR069719,ERR069770,ERR069721,ERR129199,ERR069740,ERR129201
7	16c	863	group_399	ERR069792,ERR068031,ERR065354,ERR069692,ERR069723,ERR069697,ERR069810
9	16b	70	group_399	ERR124311,ERR129057,ERR065290,ERR129135
1	13	240	group_399	ERR068005
1	16c	342	group_644	ERR069722
5	16c	503	group_644	ERR065349,ERR068022
16d	16g	43	degA	ERR124244
7	16c	31	group_91	ERR129084
7	16h	31	group_91	ERR129162
16c	1	2240	group_612	ERR069712,ERR065968,ERR129132,ERR069690,ERR068018,ERR069768,ERR129090,ERR068020,ERR067977,ERR069715,ERR124265,ERR129113,ERR068013,ERR124304,ERR124282,ERR129058,ERR124237
16b	16g	1055	group_612	ERR068016,ERR129066,ERR065304,ERR065959,ERR067991,ERR129038,ERR124230
16c	16c	2240	group_612	ERR124247,ERR129044,ERR129194
16b	10	59	group_827	ERR129152,ERR129039,ERR065298,ERR129203,ERR067997,ERR124317
16b	16c	59	group_827	ERR124247,ERR068009
16b	13	59	group_827	ERR129027,ERR129115
16a	16c	18	group_961	ERR129045
16b	16f	109	pezT	ERR124226,ERR129064,ERR069769
16b	16c	109	pezT	ERR069773,ERR065302,ERR129040,ERR068039,ERR129124,ERR065321,ERR129188,ERR069775
1	5	90	group_2926	ERR129105,ERR129196,ERR129195,ERR065301,ERR065342,ERR129144,ERR129077,ERR067998,ERR124320,ERR069818,ERR069714,ERR129053,ERR068010,ERR129182,ERR069799
12	10	70	spsB	ERR065309,ERR129111
12	7	70	spsB	ERR067961,ERR124292,ERR124312
9	16b	3502	group_1501	ERR065315,ERR065315
9	8	3502	group_1501	ERR124234
9	16f	1310	group_1501	ERR129064
9	3	1310	group_1501	ERR065332,ERR069725,ERR129026,ERR069698,ERR124274,ERR124283,ERR065293,ERR124221,ERR068026,ERR065297,ERR129061,ERR065320,ERR069724,ERR068042,ERR124249,ERR129198,ERR067978,ERR068032,ERR124239,ERR068028
9	16c	3502	group_1501	ERR124218
9	16b	1310	group_1501	ERR129071
9	16c	1424	group_1501	ERR069722,ERR069792,ERR068031,ERR065354,ERR069692,ERR069723
9	15	3502	group_1501	ERR124222,ERR129075,ERR069706,ERR069843,ERR124255,ERR065973,ERR069720,ERR068035,ERR129062,ERR124233,ERR124222,ERR129075,ERR069706,ERR069843,ERR124255,ERR065973,ERR069720,ERR068035,ERR129062,ERR124233
9	16f	3502	group_1501	ERR129064
9	16b	1424	group_1501	ERR129028,ERR124311,ERR129083,ERR129216,ERR129057,ERR129136,ERR129071,ERR065315
9	6	3502	group_1501	ERR129043,ERR129176,ERR129117,ERR129213,ERR129157,ERR129043,ERR124227
16d	16h	171	adeQ	ERR067982
6	11	82	group_4655	ERR129179,ERR124241,ERR124293,ERR069703,ERR129087,ERR067962,ERR129148,ERR124277,ERR129074,ERR065300,ERR065324,ERR065329,ERR129200,ERR068019,ERR129099,ERR124250,ERR124316,ERR069834,ERR069726,ERR129143,ERR124299,ERR068002,ERR124236,ERR068029,ERR124279,ERR129163,ERR129134,ERR067988,ERR129035,ERR124301,ERR069728,ERR124290,ERR129119,ERR124273,ERR129173,ERR069733,ERR129104,ERR067963,ERR067970,ERR067992,ERR124275,ERR129089,ERR068033
6	15	82	group_4655	ERR069706,ERR069843,ERR124255,ERR065973,ERR068003,ERR068035,ERR129062,ERR124233,ERR069791,ERR068036,ERR065314,ERR069842,ERR129036,ERR129078,ERR069699,ERR069793,ERR129031,ERR129049,ERR067990,ERR069762,ERR067999,ERR129193
6	13	82	group_4655	ERR069709,ERR068001,ERR068005,ERR065353,ERR065953,ERR069710,ERR129027,ERR068004,ERR124223,ERR069734,ERR129092,ERR069759,ERR069827,ERR069741,ERR069788,ERR069784,ERR068043,ERR129115,ERR067979
6	7	82	group_4655	ERR124228,ERR067961,ERR124292,ERR124312,ERR069718,ERR124224,ERR124243,ERR124276,ERR129067,ERR129073
6	16c	82	group_4655	ERR069773,ERR065325,ERR065960,ERR065302,ERR129040,ERR068039,ERR129050,ERR129124,ERR065299,ERR065321,ERR129188,ERR129056,ERR069775
6	12	82	group_4655	ERR065974,ERR065341,ERR129130,ERR065965,ERR124278,ERR065289,ERR065296
6	9	82	group_4655	ERR129107,ERR129155,ERR069802,ERR129147,ERR065345,ERR067967,ERR129161,ERR068015,ERR065346,ERR129208,ERR069694,ERR124245,ERR124238,ERR065348,ERR129122,ERR129100
2	12	264	group_2862	ERR067993,ERR069803
12	16c	23	lysA	ERR129045
9	6	1792	group_368	ERR129176,ERR129117,ERR129213,ERR129042,ERR129157,ERR069708,ERR129167,ERR124308,ERR129043,ERR124227,ERR065303,ERR068023
9	1	1792	group_368	ERR124256,ERR069712,ERR069809,ERR129164,ERR129088,ERR065350,ERR129051,ERR065968,ERR129158,ERR068012,ERR129132,ERR069690,ERR068018,ERR069768,ERR129090,ERR068020,ERR067977,ERR069715,ERR069683,ERR069731,ERR124285,ERR129126,ERR129113,ERR065347,ERR068013,ERR124304,ERR124282,ERR129058,ERR129199,ERR124237,ERR129201
9	16d	1792	group_368	ERR069735
9	11	1792	group_368	ERR129179,ERR124241,ERR124293,ERR069703,ERR129087,ERR067962,ERR129148,ERR069749,ERR124277,ERR129074,ERR065300,ERR065324,ERR065329,ERR129200,ERR068019,ERR129099,ERR124250,ERR124316,ERR129086,ERR069834,ERR069726,ERR129143,ERR124299,ERR068002,ERR124236,ERR068029,ERR124279,ERR129163,ERR129134,ERR065351,ERR067988,ERR129035,ERR124301,ERR069728,ERR124290,ERR129119,ERR124273,ERR129173,ERR069733,ERR129104,ERR067963,ERR067970,ERR067992,ERR124275,ERR129089,ERR068033
12	16h	7	hslO	ERR069785,ERR069797,ERR069821
12	16c	7	hslO	ERR068009
12	5	7	hslO	ERR129105,ERR129195,ERR065301,ERR065342,ERR067998,ERR124320,ERR069818,ERR069714,ERR129053,ERR069799
16c	8	342	group_2102	ERR068050,ERR069691
16h	16e	119	group_402	ERR067975
16h	16g	119	group_402	ERR069742,ERR065294,ERR065352
16g	16g	41	axeA	ERR124244
16d	2	52	ettA_1	ERR129037,ERR067985,ERR065326,ERR069713,ERR129127,ERR069727,ERR069752,ERR129214,ERR068046,ERR129215,ERR129159,ERR129154,ERR068040,ERR067986,ERR124291,ERR069822,ERR065310,ERR124302,ERR129210,ERR124296,ERR068041,ERR069801,ERR129080,ERR124268,ERR069760,ERR129131,ERR069804,ERR129068,ERR129079,ERR124246,ERR129139,ERR124240,ERR069707,ERR068047,ERR129178,ERR067968,ERR129177,ERR069839,ERR124242,ERR129137,ERR065308,ERR069702,ERR065964,ERR069837,ERR068000,ERR129093,ERR129211,ERR124298
16d	16b	52	ettA_1	ERR129151,ERR069815
16d	16g	52	ettA_1	ERR068016,ERR129066,ERR065304,ERR065959,ERR069742,ERR067991,ERR065294,ERR129038,ERR065352,ERR124230
16d	4	38	ettA_1	ERR124260
